SIFKO,SIFOB,IMEOB
110,80,Murska Sobota
111,80,Murska Sobota
112,80,Murska Sobota
113,80,Murska Sobota
114,10,Tišina
115,10,Tišina
116,10,Tišina
1,161,Hodoš/Hodos
2,78,Moravske Toplice
3,33,Šalovci
4,33,Šalovci
5,33,Šalovci
6,33,Šalovci
7,31,Gornji Petrovci
8,31,Gornji Petrovci
9,31,Gornji Petrovci
10,31,Gornji Petrovci
11,31,Gornji Petrovci
12,31,Gornji Petrovci
13,31,Gornji Petrovci
14,31,Gornji Petrovci
15,31,Gornji Petrovci
16,31,Gornji Petrovci
17,33,Šalovci
18,161,Hodoš/Hodos
19,33,Šalovci
20,31,Gornji Petrovci
21,31,Gornji Petrovci
22,31,Gornji Petrovci
23,56,Kuzma
24,56,Kuzma
25,56,Kuzma
26,56,Kuzma
27,56,Kuzma
28,105,Rogašovci
29,105,Rogašovci
30,105,Rogašovci
31,105,Rogašovci
32,105,Rogašovci
33,105,Rogašovci
34,105,Rogašovci
35,105,Rogašovci
36,105,Rogašovci
38,158,Grad
39,158,Grad
40,97,Puconci
41,97,Puconci
42,97,Puconci
43,158,Grad
44,97,Puconci
45,158,Grad
46,158,Grad
47,158,Grad
48,105,Rogašovci
49,105,Rogašovci
50,152,Cankova
51,152,Cankova
52,97,Puconci
53,97,Puconci
54,97,Puconci
55,97,Puconci
56,97,Puconci
57,31,Gornji Petrovci
58,97,Puconci
59,97,Puconci
60,97,Puconci
61,97,Puconci
62,97,Puconci
64,97,Puconci
73,97,Puconci
74,97,Puconci
75,97,Puconci
76,97,Puconci
77,97,Puconci
78,78,Moravske Toplice
79,97,Puconci
80,78,Moravske Toplice
81,78,Moravske Toplice
82,78,Moravske Toplice
83,78,Moravske Toplice
84,78,Moravske Toplice
85,78,Moravske Toplice
86,78,Moravske Toplice
87,78,Moravske Toplice
88,78,Moravske Toplice
89,78,Moravske Toplice
90,78,Moravske Toplice
91,78,Moravske Toplice
92,78,Moravske Toplice
93,78,Moravske Toplice
94,78,Moravske Toplice
95,78,Moravske Toplice
96,78,Moravske Toplice
97,78,Moravske Toplice
98,78,Moravske Toplice
99,78,Moravske Toplice
100,78,Moravske Toplice
101,78,Moravske Toplice
102,78,Moravske Toplice
103,78,Moravske Toplice
104,80,Murska Sobota
105,80,Murska Sobota
106,78,Moravske Toplice
107,78,Moravske Toplice
108,80,Murska Sobota
109,80,Murska Sobota
158,59,Lendava/Lendva
159,187,Velika Polana
160,187,Velika Polana
161,59,Lendava/Lendva
162,59,Lendava/Lendva
37,158,Grad
164,59,Lendava/Lendva
165,59,Lendava/Lendva
166,59,Lendava/Lendva
167,59,Lendava/Lendva
168,59,Lendava/Lendva
169,59,Lendava/Lendva
170,59,Lendava/Lendva
171,195,Apače
172,195,Apače
65,152,Cankova
66,152,Cankova
67,152,Cankova
68,152,Cankova
69,152,Cankova
70,152,Cankova
71,97,Puconci
72,97,Puconci
184,29,Gornja Radgona
186,29,Gornja Radgona
187,29,Gornja Radgona
188,29,Gornja Radgona
189,29,Gornja Radgona
173,195,Apače
174,195,Apače
175,195,Apače
176,195,Apače
177,195,Apače
178,195,Apače
179,195,Apače
180,195,Apače
181,195,Apače
182,195,Apače
203,29,Gornja Radgona
204,100,Radenci
190,29,Gornja Radgona
163,59,Lendava/Lendva
183,195,Apače
154,59,Lendava/Lendva
155,59,Lendava/Lendva
156,59,Lendava/Lendva
157,59,Lendava/Lendva
217,100,Radenci
218,100,Radenci
219,100,Radenci
220,116,Sveti Jurij ob Ščavnici
221,116,Sveti Jurij ob Ščavnici
222,116,Sveti Jurij ob Ščavnici
223,116,Sveti Jurij ob Ščavnici
224,116,Sveti Jurij ob Ščavnici
225,116,Sveti Jurij ob Ščavnici
226,116,Sveti Jurij ob Ščavnici
227,116,Sveti Jurij ob Ščavnici
228,116,Sveti Jurij ob Ščavnici
229,116,Sveti Jurij ob Ščavnici
230,166,Križevci
231,166,Križevci
205,29,Gornja Radgona
206,29,Gornja Radgona
232,166,Križevci
233,188,Veržej
234,188,Veržej
235,166,Križevci
236,166,Križevci
237,188,Veržej
238,63,Ljutomer
239,63,Ljutomer
240,63,Ljutomer
241,63,Ljutomer
242,63,Ljutomer
243,63,Ljutomer
244,166,Križevci
245,166,Križevci
246,166,Križevci
247,166,Križevci
248,63,Ljutomer
249,63,Ljutomer
250,166,Križevci
191,195,Apače
192,29,Gornja Radgona
193,29,Gornja Radgona
194,29,Gornja Radgona
195,29,Gornja Radgona
196,29,Gornja Radgona
197,29,Gornja Radgona
198,100,Radenci
199,100,Radenci
200,100,Radenci
201,100,Radenci
202,100,Radenci
117,10,Tišina
118,10,Tišina
119,10,Tišina
120,10,Tišina
121,10,Tišina
122,10,Tišina
123,10,Tišina
124,10,Tišina
125,10,Tišina
126,80,Murska Sobota
127,80,Murska Sobota
128,80,Murska Sobota
129,2,Beltinci
130,2,Beltinci
131,2,Beltinci
132,2,Beltinci
133,2,Beltinci
134,2,Beltinci
135,2,Beltinci
136,2,Beltinci
137,86,Odranci
138,15,Črenšovci
139,15,Črenšovci
140,15,Črenšovci
141,15,Črenšovci
142,15,Črenšovci
143,15,Črenšovci
144,47,Kobilje
145,156,Dobrovnik/Dobronak
146,156,Dobrovnik/Dobronak
147,156,Dobrovnik/Dobronak
148,132,Turnišče
149,132,Turnišče
150,132,Turnišče
151,187,Velika Polana
152,132,Turnišče
153,59,Lendava/Lendva
271,63,Ljutomer
272,63,Ljutomer
273,63,Ljutomer
274,63,Ljutomer
275,176,Razkrižje
276,176,Razkrižje
277,176,Razkrižje
286,205,Sveti Tomaž
287,87,Ormož
288,205,Sveti Tomaž
289,205,Sveti Tomaž
290,87,Ormož
291,87,Ormož
292,87,Ormož
293,87,Ormož
294,87,Ormož
295,87,Ormož
296,87,Ormož
297,87,Ormož
298,87,Ormož
261,63,Ljutomer
262,63,Ljutomer
263,63,Ljutomer
264,63,Ljutomer
265,63,Ljutomer
266,63,Ljutomer
267,63,Ljutomer
268,63,Ljutomer
357,42,Juršinci
358,42,Juršinci
251,116,Sveti Jurij ob Ščavnici
252,63,Ljutomer
253,63,Ljutomer
254,63,Ljutomer
255,63,Ljutomer
256,63,Ljutomer
257,63,Ljutomer
258,63,Ljutomer
259,63,Ljutomer
260,63,Ljutomer
285,205,Sveti Tomaž
269,63,Ljutomer
270,63,Ljutomer
210,29,Gornja Radgona
211,29,Gornja Radgona
212,100,Radenci
213,116,Sveti Jurij ob Ščavnici
214,116,Sveti Jurij ob Ščavnici
215,116,Sveti Jurij ob Ščavnici
216,100,Radenci
356,42,Juršinci
359,42,Juršinci
360,42,Juršinci
361,18,Destrnik
362,18,Destrnik
278,176,Razkrižje
279,205,Sveti Tomaž
280,205,Sveti Tomaž
281,205,Sveti Tomaž
282,205,Sveti Tomaž
283,205,Sveti Tomaž
284,205,Sveti Tomaž
207,29,Gornja Radgona
208,29,Gornja Radgona
209,29,Gornja Radgona
378,24,Dornava
379,24,Dornava
380,24,Dornava
381,28,Gorišnica
382,24,Dornava
383,24,Dornava
370,18,Destrnik
371,18,Destrnik
372,96,Ptuj
373,42,Juršinci
374,42,Juršinci
375,42,Juršinci
376,42,Juršinci
390,96,Ptuj
391,96,Ptuj
392,96,Ptuj
393,159,Hajdina
394,45,Kidričevo
395,159,Hajdina
396,159,Hajdina
397,159,Hajdina
399,159,Hajdina
400,96,Ptuj
401,96,Ptuj
363,18,Destrnik
364,18,Destrnik
365,18,Destrnik
366,96,Ptuj
367,96,Ptuj
368,18,Destrnik
369,18,Destrnik
402,96,Ptuj
403,168,Markovci
377,24,Dornava
333,87,Ormož
334,87,Ormož
335,87,Ormož
336,202,Središče ob Dravi
337,202,Središče ob Dravi
338,202,Središče ob Dravi
339,182,Sveti Andraž v Slov. goricah
340,182,Sveti Andraž v Slov. goricah
341,182,Sveti Andraž v Slov. goricah
342,182,Sveti Andraž v Slov. goricah
343,182,Sveti Andraž v Slov. goricah
344,182,Sveti Andraž v Slov. goricah
345,185,Trnovska vas
346,185,Trnovska vas
347,185,Trnovska vas
348,185,Trnovska vas
349,18,Destrnik
350,185,Trnovska vas
351,18,Destrnik
352,18,Destrnik
353,42,Juršinci
354,42,Juršinci
355,42,Juršinci
416,168,Markovci
417,168,Markovci
418,168,Markovci
419,135,Videm
384,24,Dornava
385,96,Ptuj
386,96,Ptuj
387,96,Ptuj
388,96,Ptuj
389,96,Ptuj
299,87,Ormož
300,87,Ormož
301,87,Ormož
302,87,Ormož
303,87,Ormož
304,87,Ormož
305,87,Ormož
306,87,Ormož
307,87,Ormož
308,87,Ormož
309,87,Ormož
310,87,Ormož
311,87,Ormož
312,87,Ormož
313,202,Središče ob Dravi
314,87,Ormož
315,87,Ormož
316,87,Ormož
317,87,Ormož
318,87,Ormož
319,87,Ormož
320,87,Ormož
321,87,Ormož
322,87,Ormož
323,87,Ormož
324,87,Ormož
325,87,Ormož
326,87,Ormož
327,87,Ormož
328,87,Ormož
329,87,Ormož
330,87,Ormož
331,87,Ormož
332,87,Ormož
431,45,Kidričevo
432,45,Kidričevo
433,45,Kidričevo
434,45,Kidričevo
435,45,Kidričevo
436,69,Majšperk
437,69,Majšperk
438,69,Majšperk
439,69,Majšperk
440,69,Majšperk
423,135,Videm
404,168,Markovci
420,135,Videm
421,135,Videm
422,135,Videm
413,28,Gorišnica
414,168,Markovci
415,168,Markovci
429,45,Kidričevo
430,45,Kidričevo
409,28,Gorišnica
410,28,Gorišnica
411,28,Gorišnica
412,28,Gorišnica
459,135,Videm
460,135,Videm
461,196,Cirkulane
462,196,Cirkulane
463,196,Cirkulane
464,143,Zavrč
424,45,Kidričevo
425,45,Kidričevo
426,45,Kidričevo
427,45,Kidričevo
428,45,Kidričevo
468,143,Zavrč
469,143,Zavrč
470,143,Zavrč
405,168,Markovci
406,28,Gorišnica
407,28,Gorišnica
408,28,Gorišnica
485,135,Videm
471,143,Zavrč
472,143,Zavrč
473,196,Cirkulane
474,196,Cirkulane
475,196,Cirkulane
488,135,Videm
486,135,Videm
465,143,Zavrč
466,143,Zavrč
467,143,Zavrč
484,135,Videm
449,135,Videm
450,135,Videm
451,172,Podlehnik
452,135,Videm
453,172,Podlehnik
454,172,Podlehnik
455,172,Podlehnik
489,135,Videm
490,135,Videm
491,172,Podlehnik
492,172,Podlehnik
493,172,Podlehnik
494,172,Podlehnik
476,196,Cirkulane
477,196,Cirkulane
478,196,Cirkulane
479,196,Cirkulane
480,196,Cirkulane
481,196,Cirkulane
482,196,Cirkulane
483,135,Videm
527,210,Sveti Jurij v Slov. goricah
528,210,Sveti Jurij v Slov. goricah
529,210,Sveti Jurij v Slov. goricah
530,210,Sveti Jurij v Slov. goricah
531,58,Lenart
532,58,Lenart
533,58,Lenart
534,204,Sveta Trojica v Slov. goricah
535,204,Sveta Trojica v Slov. goricah
536,204,Sveta Trojica v Slov. goricah
537,204,Sveta Trojica v Slov. goricah
538,204,Sveta Trojica v Slov. goricah
539,153,Cerkvenjak
540,153,Cerkvenjak
541,153,Cerkvenjak
542,153,Cerkvenjak
543,153,Cerkvenjak
487,135,Videm
441,69,Majšperk
442,69,Majšperk
443,69,Majšperk
444,69,Majšperk
445,135,Videm
446,135,Videm
447,135,Videm
448,135,Videm
562,58,Lenart
563,118,Šentilj
564,118,Šentilj
565,118,Šentilj
566,118,Šentilj
567,118,Šentilj
568,118,Šentilj
569,118,Šentilj
570,118,Šentilj
571,89,Pesnica
572,89,Pesnica
573,89,Pesnica
574,89,Pesnica
575,118,Šentilj
579,89,Pesnica
580,89,Pesnica
544,153,Cerkvenjak
545,153,Cerkvenjak
546,204,Sveta Trojica v Slov. goricah
547,204,Sveta Trojica v Slov. goricah
548,204,Sveta Trojica v Slov. goricah
549,58,Lenart
550,58,Lenart
551,58,Lenart
581,118,Šentilj
582,118,Šentilj
583,118,Šentilj
584,118,Šentilj
576,118,Šentilj
577,89,Pesnica
578,89,Pesnica
456,172,Podlehnik
457,172,Podlehnik
458,135,Videm
526,210,Sveti Jurij v Slov. goricah
498,191,Žetale
499,69,Majšperk
500,69,Majšperk
501,69,Majšperk
502,69,Majšperk
503,69,Majšperk
504,191,Žetale
505,191,Žetale
506,191,Žetale
507,181,Sveta Ana
508,181,Sveta Ana
509,181,Sveta Ana
510,181,Sveta Ana
511,210,Sveti Jurij v Slov. goricah
512,181,Sveta Ana
513,181,Sveta Ana
514,181,Sveta Ana
515,181,Sveta Ana
516,148,Benedikt
517,148,Benedikt
518,148,Benedikt
519,148,Benedikt
520,148,Benedikt
521,148,Benedikt
522,58,Lenart
523,58,Lenart
524,181,Sveta Ana
585,118,Šentilj
586,55,Kungota
587,55,Kungota
588,55,Kungota
552,58,Lenart
553,58,Lenart
554,58,Lenart
555,58,Lenart
556,204,Sveta Trojica v Slov. goricah
557,58,Lenart
558,58,Lenart
559,58,Lenart
561,58,Lenart
613,89,Pesnica
614,89,Pesnica
615,89,Pesnica
616,89,Pesnica
617,89,Pesnica
495,172,Podlehnik
496,172,Podlehnik
497,191,Žetale
629,178,Selnica ob Dravi
618,89,Pesnica
619,89,Pesnica
620,55,Kungota
621,70,Maribor
622,70,Maribor
623,178,Selnica ob Dravi
624,178,Selnica ob Dravi
625,178,Selnica ob Dravi
626,178,Selnica ob Dravi
627,178,Selnica ob Dravi
628,178,Selnica ob Dravi
630,178,Selnica ob Dravi
525,210,Sveti Jurij v Slov. goricah
599,55,Kungota
600,55,Kungota
601,55,Kungota
602,70,Maribor
603,55,Kungota
604,55,Kungota
605,89,Pesnica
606,89,Pesnica
607,89,Pesnica
608,89,Pesnica
609,89,Pesnica
610,89,Pesnica
611,89,Pesnica
612,89,Pesnica
643,89,Pesnica
644,70,Maribor
589,55,Kungota
590,55,Kungota
591,55,Kungota
592,55,Kungota
593,55,Kungota
594,55,Kungota
640,70,Maribor
641,89,Pesnica
642,89,Pesnica
598,55,Kungota
649,70,Maribor
650,70,Maribor
631,178,Selnica ob Dravi
632,178,Selnica ob Dravi
633,70,Maribor
634,70,Maribor
635,70,Maribor
636,70,Maribor
637,70,Maribor
638,70,Maribor
639,70,Maribor
648,70,Maribor
838,25,Dravograd
839,25,Dravograd
840,25,Dravograd
841,25,Dravograd
842,25,Dravograd
843,25,Dravograd
844,25,Dravograd
845,112,Slovenj Gradec
846,112,Slovenj Gradec
847,112,Slovenj Gradec
968,133,Velenje
969,125,Šmartno ob Paki
810,81,Muta
811,141,Vuzenica
812,141,Vuzenica
813,141,Vuzenica
814,141,Vuzenica
815,141,Vuzenica
816,101,Radlje ob Dravi
769,113,Slovenska Bistrica
806,101,Radlje ob Dravi
938,83,Nazarje
939,83,Nazarje
940,83,Nazarje
941,30,Gornji Grad
942,30,Gornji Grad
943,30,Gornji Grad
944,30,Gornji Grad
970,125,Šmartno ob Paki
972,125,Šmartno ob Paki
973,125,Šmartno ob Paki
974,133,Velenje
975,133,Velenje
1043,57,Laško
1053,139,Vojnik
1054,139,Vojnik
1055,139,Vojnik
1056,155,Dobrna
1057,11,Celje
1058,11,Celje
1059,139,Vojnik
1060,139,Vojnik
1061,139,Vojnik
1062,139,Vojnik
1063,139,Vojnik
1064,139,Vojnik
1065,139,Vojnik
1066,139,Vojnik
1067,11,Celje
1068,11,Celje
1069,11,Celje
1070,11,Celje
1071,11,Celje
1072,11,Celje
1073,11,Celje
1074,11,Celje
1075,11,Celje
1076,11,Celje
1077,11,Celje
1078,11,Celje
976,133,Velenje
977,190,Žalec
978,190,Žalec
979,190,Žalec
980,173,Polzela
981,173,Polzela
982,173,Polzela
983,151,Braslovče
985,151,Braslovče
986,151,Braslovče
1038,57,Laško
945,126,Šoštanj
946,126,Šoštanj
947,126,Šoštanj
948,126,Šoštanj
949,126,Šoštanj
950,133,Velenje
951,133,Velenje
651,70,Maribor
703,160,Hoče - Slivnica
704,160,Hoče - Slivnica
705,160,Hoče - Slivnica
706,160,Hoče - Slivnica
707,160,Hoče - Slivnica
708,169,Miklavž na Dravskem polju
987,151,Braslovče
663,108,Ruše
664,108,Ruše
659,70,Maribor
660,70,Maribor
661,70,Maribor
666,167,Lovrenc na Pohorju
770,113,Slovenska Bistrica
771,113,Slovenska Bistrica
1135,120,Šentjur
1136,120,Šentjur
1137,120,Šentjur
1138,120,Šentjur
1139,120,Šentjur
1140,120,Šentjur
709,115,Starše
710,26,Duplek
711,26,Duplek
712,115,Starše
713,115,Starše
714,115,Starše
715,115,Starše
716,98,Rače - Fram
717,98,Rače - Fram
732,113,Slovenska Bistrica
817,101,Radlje ob Dravi
818,101,Radlje ob Dravi
819,93,Podvelka
820,93,Podvelka
821,93,Podvelka
822,93,Podvelka
772,198,Makole
773,198,Makole
774,198,Makole
775,198,Makole
776,198,Makole
777,200,Poljčane
778,200,Poljčane
779,200,Poljčane
780,200,Poljčane
781,200,Poljčane
782,200,Poljčane
783,200,Poljčane
784,200,Poljčane
785,198,Makole
786,81,Muta
787,81,Muta
788,81,Muta
789,81,Muta
790,101,Radlje ob Dravi
791,101,Radlje ob Dravi
792,101,Radlje ob Dravi
793,101,Radlje ob Dravi
794,101,Radlje ob Dravi
795,101,Radlje ob Dravi
796,93,Podvelka
797,93,Podvelka
798,93,Podvelka
799,93,Podvelka
800,93,Podvelka
801,93,Podvelka
864,76,Mislinja
865,76,Mislinja
866,76,Mislinja
867,76,Mislinja
868,76,Mislinja
682,70,Maribor
683,70,Maribor
684,26,Duplek
685,26,Duplek
686,26,Duplek
2250,128,Tolmin
823,177,Ribnica na Pohorju
824,177,Ribnica na Pohorju
988,151,Braslovče
989,151,Braslovče
990,151,Braslovče
991,151,Braslovče
992,173,Polzela
993,173,Polzela
994,190,Žalec
995,190,Žalec
996,190,Žalec
997,190,Žalec
998,190,Žalec
999,190,Žalec
1000,190,Žalec
1001,190,Žalec
1002,190,Žalec
1003,190,Žalec
1004,174,Prebold
1005,174,Prebold
1006,174,Prebold
1007,151,Braslovče
869,175,Prevalje
870,175,Prevalje
871,103,Ravne na Koroškem
872,103,Ravne na Koroškem
873,175,Prevalje
874,175,Prevalje
875,175,Prevalje
876,175,Prevalje
877,175,Prevalje
878,103,Ravne na Koroškem
807,81,Muta
652,70,Maribor
653,70,Maribor
654,70,Maribor
655,70,Maribor
656,70,Maribor
645,70,Maribor
952,133,Velenje
953,133,Velenje
954,133,Velenje
955,133,Velenje
957,133,Velenje
958,126,Šoštanj
959,126,Šoštanj
960,126,Šoštanj
961,126,Šoštanj
2267,44,Kanal
733,113,Slovenska Bistrica
734,113,Slovenska Bistrica
735,113,Slovenska Bistrica
736,113,Slovenska Bistrica
737,113,Slovenska Bistrica
738,113,Slovenska Bistrica
739,113,Slovenska Bistrica
740,113,Slovenska Bistrica
667,167,Lovrenc na Pohorju
962,125,Šmartno ob Paki
857,112,Slovenj Gradec
858,112,Slovenj Gradec
859,112,Slovenj Gradec
860,112,Slovenj Gradec
861,112,Slovenj Gradec
2268,44,Kanal
1871,129,Trbovlje
1872,129,Trbovlje
1873,142,Zagorje ob Savi
825,25,Dravograd
826,25,Dravograd
827,25,Dravograd
828,25,Dravograd
829,25,Dravograd
802,93,Podvelka
862,112,Slovenj Gradec
863,76,Mislinja
687,26,Duplek
718,98,Rače - Fram
719,98,Rače - Fram
720,98,Rače - Fram
1008,151,Braslovče
1125,120,Šentjur
1126,120,Šentjur
1127,120,Šentjur
1128,120,Šentjur
1129,120,Šentjur
1130,120,Šentjur
1131,120,Šentjur
1132,120,Šentjur
1133,120,Šentjur
1134,120,Šentjur
646,70,Maribor
668,167,Lovrenc na Pohorju
669,167,Lovrenc na Pohorju
670,167,Lovrenc na Pohorju
671,167,Lovrenc na Pohorju
672,108,Ruše
673,108,Ruše
674,70,Maribor
675,70,Maribor
676,70,Maribor
677,70,Maribor
678,70,Maribor
679,70,Maribor
680,70,Maribor
681,70,Maribor
885,175,Prevalje
886,175,Prevalje
887,74,Mežica
888,74,Mežica
889,74,Mežica
890,74,Mežica
891,175,Prevalje
892,175,Prevalje
893,175,Prevalje
894,103,Ravne na Koroškem
688,26,Duplek
689,26,Duplek
808,81,Muta
809,81,Muta
963,126,Šoštanj
964,133,Velenje
965,133,Velenje
966,133,Velenje
880,103,Ravne na Koroškem
882,103,Ravne na Koroškem
2287,7,Brda
657,70,Maribor
741,113,Slovenska Bistrica
742,113,Slovenska Bistrica
743,113,Slovenska Bistrica
744,113,Slovenska Bistrica
895,103,Ravne na Koroškem
896,103,Ravne na Koroškem
897,103,Ravne na Koroškem
898,103,Ravne na Koroškem
899,16,Črna na Koroškem
900,16,Črna na Koroškem
901,74,Mežica
902,16,Črna na Koroškem
903,16,Črna na Koroškem
904,16,Črna na Koroškem
905,16,Črna na Koroškem
906,16,Črna na Koroškem
907,16,Črna na Koroškem
908,16,Črna na Koroškem
909,180,Solčava
910,180,Solčava
911,67,Luče
912,67,Luče
913,62,Ljubno
914,62,Ljubno
915,79,Mozirje
916,79,Mozirje
917,79,Mozirje
918,79,Mozirje
919,79,Mozirje
920,79,Mozirje
921,209,Rečica ob Savinji
1039,57,Laško
1040,57,Laško
1041,57,Laško
1042,57,Laško
848,112,Slovenj Gradec
849,112,Slovenj Gradec
850,112,Slovenj Gradec
851,112,Slovenj Gradec
852,112,Slovenj Gradec
883,103,Ravne na Koroškem
884,175,Prevalje
690,26,Duplek
691,26,Duplek
692,26,Duplek
755,113,Slovenska Bistrica
745,113,Slovenska Bistrica
746,113,Slovenska Bistrica
747,113,Slovenska Bistrica
748,113,Slovenska Bistrica
749,45,Kidričevo
750,113,Slovenska Bistrica
752,113,Slovenska Bistrica
753,113,Slovenska Bistrica
754,113,Slovenska Bistrica
830,25,Dravograd
831,25,Dravograd
832,25,Dravograd
833,25,Dravograd
834,25,Dravograd
835,25,Dravograd
853,112,Slovenj Gradec
854,112,Slovenj Gradec
855,112,Slovenj Gradec
856,112,Slovenj Gradec
693,169,Miklavž na Dravskem polju
694,160,Hoče - Slivnica
695,160,Hoče - Slivnica
696,160,Hoče - Slivnica
697,160,Hoče - Slivnica
698,160,Hoče - Slivnica
699,160,Hoče - Slivnica
700,160,Hoče - Slivnica
2124,52,Kranj
2125,117,Šenčur
2126,117,Šenčur
2127,52,Kranj
2128,52,Kranj
2574,35,Hrpelje - Kozina
836,25,Dravograd
763,171,Oplotnica
764,171,Oplotnica
765,113,Slovenska Bistrica
766,113,Slovenska Bistrica
767,113,Slovenska Bistrica
768,113,Slovenska Bistrica
1108,114,Slovenske Konjice
1109,114,Slovenske Konjice
1110,114,Slovenske Konjice
1111,114,Slovenske Konjice
1112,114,Slovenske Konjice
1113,114,Slovenske Konjice
1114,114,Slovenske Konjice
1115,114,Slovenske Konjice
1116,114,Slovenske Konjice
647,70,Maribor
837,25,Dravograd
1665,13,Cerknica
1117,114,Slovenske Konjice
1118,114,Slovenske Konjice
1119,114,Slovenske Konjice
1120,114,Slovenske Konjice
1121,114,Slovenske Konjice
1122,120,Šentjur
1123,120,Šentjur
1124,120,Šentjur
803,101,Radlje ob Dravi
804,101,Radlje ob Dravi
805,101,Radlje ob Dravi
922,209,Rečica ob Savinji
923,62,Ljubno
967,133,Velenje
1044,155,Dobrna
1045,155,Dobrna
1046,155,Dobrna
1047,139,Vojnik
1048,139,Vojnik
1049,139,Vojnik
658,70,Maribor
924,62,Ljubno
925,67,Luče
926,67,Luče
927,67,Luče
928,67,Luče
929,30,Gornji Grad
930,30,Gornji Grad
931,62,Ljubno
932,209,Rečica ob Savinji
933,209,Rečica ob Savinji
934,209,Rečica ob Savinji
935,209,Rečica ob Savinji
936,83,Nazarje
937,79,Mozirje
1009,184,Tabor
1010,189,Vransko
1011,189,Vransko
1012,189,Vransko
1013,189,Vransko
1014,189,Vransko
1015,189,Vransko
1016,184,Tabor
1017,184,Tabor
1018,174,Prebold
1019,174,Prebold
1020,190,Žalec
1021,190,Žalec
1022,57,Laško
1023,57,Laško
1024,57,Laško
1025,57,Laško
1026,57,Laško
1027,57,Laško
1028,57,Laško
1029,57,Laško
1030,57,Laško
1031,57,Laško
1032,57,Laško
1033,57,Laško
1034,57,Laško
1035,57,Laško
1036,57,Laško
1037,57,Laško
662,70,Maribor
665,108,Ruše
879,103,Ravne na Koroškem
701,160,Hoče - Slivnica
702,98,Rače - Fram
730,113,Slovenska Bistrica
731,113,Slovenska Bistrica
1310,9,Brežice
1376,110,Sevnica
1623,104,Ribnica
1624,104,Ribnica
1625,104,Ribnica
1341,54,Krško
1342,54,Krško
1343,54,Krško
1344,54,Krško
1604,48,Kočevje
1605,48,Kočevje
1606,48,Kočevje
1607,165,Kostel
1608,48,Kočevje
1609,165,Kostel
1610,165,Kostel
1103,144,Zreče
1104,144,Zreče
1105,114,Slovenske Konjice
1106,114,Slovenske Konjice
1107,114,Slovenske Konjice
1212,92,Podčetrtek
1603,48,Kočevje
1626,104,Ribnica
1627,104,Ribnica
1628,104,Ribnica
1629,104,Ribnica
1630,104,Ribnica
1631,104,Ribnica
1198,106,Rogaška Slatina
1199,124,Šmarje pri Jelšah
1200,124,Šmarje pri Jelšah
1611,165,Kostel
1493,85,Novo mesto
1351,54,Krško
1536,17,Črnomelj
1224,124,Šmarje pri Jelšah
1225,124,Šmarje pri Jelšah
1226,124,Šmarje pri Jelšah
1227,124,Šmarje pri Jelšah
1228,92,Podčetrtek
1229,92,Podčetrtek
1230,92,Podčetrtek
1231,92,Podčetrtek
1232,51,Kozje
1233,92,Podčetrtek
1234,51,Kozje
1235,51,Kozje
1236,51,Kozje
1237,51,Kozje
1238,51,Kozje
1239,51,Kozje
1240,92,Podčetrtek
1241,92,Podčetrtek
1242,51,Kozje
1243,51,Kozje
1244,51,Kozje
1245,51,Kozje
1246,149,Bistrica ob Sotli
1247,149,Bistrica ob Sotli
1248,149,Bistrica ob Sotli
1249,149,Bistrica ob Sotli
1250,149,Bistrica ob Sotli
1251,149,Bistrica ob Sotli
1252,9,Brežice
1253,9,Brežice
1254,9,Brežice
1255,9,Brežice
1161,120,Šentjur
1311,54,Krško
1312,54,Krško
1313,54,Krško
1079,11,Celje
1537,17,Črnomelj
1538,17,Črnomelj
1539,17,Črnomelj
1540,17,Črnomelj
1541,17,Črnomelj
1542,17,Črnomelj
1543,73,Metlika
1544,17,Črnomelj
1545,17,Črnomelj
1546,17,Črnomelj
1547,17,Črnomelj
1549,17,Črnomelj
1551,17,Črnomelj
1553,17,Črnomelj
1554,17,Črnomelj
1555,17,Črnomelj
1556,17,Črnomelj
1557,17,Črnomelj
1456,85,Novo mesto
1457,85,Novo mesto
1458,85,Novo mesto
1459,85,Novo mesto
1460,85,Novo mesto
1314,54,Krško
1315,54,Krško
1316,54,Krško
1317,54,Krško
1318,54,Krško
1319,54,Krško
1320,54,Krško
1321,54,Krško
1322,54,Krško
1323,54,Krško
1324,54,Krško
1325,54,Krško
1326,54,Krško
1327,54,Krško
1328,54,Krško
1329,54,Krško
1330,54,Krško
1331,197,Kostanjevica na Krki
1332,54,Krško
1333,54,Krško
1334,197,Kostanjevica na Krki
1335,197,Kostanjevica na Krki
1336,197,Kostanjevica na Krki
1337,54,Krško
1338,54,Krško
1339,54,Krško
1340,54,Krško
1291,9,Brežice
1292,9,Brežice
1293,9,Brežice
1294,9,Brežice
1295,9,Brežice
1296,9,Brežice
1297,9,Brežice
1298,9,Brežice
1345,54,Krško
1346,54,Krško
1520,109,Semič
1521,109,Semič
2680,61,Ljubljana
2681,61,Ljubljana
1587,88,Osilnica
1377,110,Sevnica
1378,110,Sevnica
1379,110,Sevnica
1380,110,Sevnica
1381,110,Sevnica
1382,110,Sevnica
1383,110,Sevnica
1384,110,Sevnica
1522,109,Semič
1523,109,Semič
1524,109,Semič
1525,109,Semič
1526,109,Semič
1527,109,Semič
1528,109,Semič
1529,109,Semič
1530,109,Semič
